category,file,grid_size,dp_time,dp_comparisons,naive_time,naive_comparisons
animals,animals_30.txt,60x60,0.07253098487854004,345619,0.1963977813720703,100800
animals,animals_31.txt,60x60,0.10911107063293457,469745,0.23108744621276855,100800
animals,animals_32.txt,60x60,0.05698990821838379,314964,0.20670843124389648,100800
animals,animals_33.txt,60x60,0.12401700019836426,490543,0.2604060173034668,100800
animals,animals_34.txt,60x60,0.06797933578491211,357975,0.219313383102417,100800
animals,animals_35.txt,60x60,0.08995723724365234,398909,0.25525665283203125,100800
animals,animals_36.txt,60x60,0.09437346458435059,396519,0.2722010612487793,100800
animals,animals_37.txt,60x60,0.12239289283752441,421585,0.25504136085510254,100800
animals,animals_38.txt,60x60,0.06611752510070801,329249,0.22345280647277832,100800
animals,animals_39.txt,60x60,0.15397310256958008,551811,0.2864108085632324,100800
animals,animals_4.txt,60x60,0.08352470397949219,401544,0.2258920669555664,100800
animals,animals_40.txt,60x60,0.11306953430175781,500020,0.2927212715148926,100800
animals,animals_41.txt,60x60,0.0848696231842041,402103,0.2094273567199707,100800
animals,animals_42.txt,60x60,0.0444791316986084,332162,0.22084951400756836,100800
animals,animals_43.txt,60x60,0.07094216346740723,353869,0.18103957176208496,100800
animals,animals_44.txt,60x60,0.07780957221984863,330148,0.19408845901489258,100800
animals,animals_45.txt,60x60,0.11518979072570801,554298,0.2459254264831543,100800
animals,animals_46.txt,60x60,0.09059953689575195,457982,0.27285122871398926,100800
animals,animals_47.txt,60x60,0.08501935005187988,454697,0.20123648643493652,100800
animals,animals_48.txt,60x60,0.1302165985107422,476795,0.20324087142944336,100800
animals,animals_49.txt,60x60,0.08529996871948242,408223,0.2533149719238281,100800
animals,animals_5.txt,60x60,0.052825212478637695,338787,0.20935440063476562,100800
animals,animals_50.txt,60x60,0.09158039093017578,357038,0.1609804630279541,100800
animals,animals_51.txt,60x60,0.09757566452026367,400522,0.2118527889251709,100800
animals,animals_52.txt,60x60,0.09867596626281738,406980,0.17365217208862305,100800
animals,animals_53.txt,60x60,0.11252427101135254,423839,0.21101737022399902,100800
animals,animals_54.txt,60x60,0.10535335540771484,451469,0.25694751739501953,100800
animals,animals_55.txt,60x60,0.06828761100769043,383094,0.19428157806396484,100800
animals,animals_56.txt,60x60,0.04999828338623047,270381,0.1455235481262207,100800
animals,animals_57.txt,60x60,0.09551215171813965,442413,0.24179625511169434,100800
animals,animals_58.txt,60x60,0.07450199127197266,356787,0.17985987663269043,100800
animals,animals_59.txt,60x60,0.07274341583251953,283342,0.18021154403686523,100800
animals,animals_6.txt,60x60,0.08820700645446777,413081,0.20158076286315918,100800
animals,animals_60.txt,60x60,0.061998605728149414,283374,0.16852188110351562,100800
animals,animals_61.txt,60x60,0.057845354080200195,314020,0.17122483253479004,100800
animals,animals_62.txt,60x60,0.08678436279296875,480987,0.2429819107055664,100800
animals,animals_63.txt,60x60,0.08255815505981445,370442,0.19693875312805176,100800
animals,animals_64.txt,60x60,0.05715656280517578,302176,0.15626740455627441,100800
animals,animals_65.txt,60x60,0.02649092674255371,240217,0.15948867797851562,100800
animals,animals_66.txt,60x60,0.08142948150634766,458088,0.3012223243713379,100800
animals,animals_67.txt,60x60,0.08167362213134766,420121,0.2221050262451172,100800
animals,animals_68.txt,60x60,0.0774233341217041,423194,0.19709515571594238,100800
animals,animals_69.txt,60x60,0.08069348335266113,394958,0.22176337242126465,100800
animals,animals_7.txt,60x60,0.11953234672546387,481852,0.24004316329956055,100800
animals,animals_70.txt,60x60,0.07150578498840332,291795,0.14643287658691406,100800
animals,animals_71.txt,60x60,0.05888080596923828,332935,0.17491459846496582,100800
animals,animals_72.txt,60x60,0.0790109634399414,335948,0.21799159049987793,100800
animals,animals_73.txt,60x60,0.08040332794189453,319241,0.16138601303100586,100800
animals,animals_74.txt,60x60,0.06818723678588867,358863,0.21093487739562988,100800
animals,animals_75.txt,60x60,0.10242867469787598,441097,0.24492597579956055,100800
animals,animals_76.txt,60x60,0.08752775192260742,385593,0.22094273567199707,100800
animals,animals_77.txt,60x60,0.06322026252746582,329480,0.1545419692993164,100800
animals,animals_78.txt,60x60,0.10091638565063477,401696,0.2199993133544922,100800
animals,animals_79.txt,60x60,0.0435025691986084,299331,0.1875905990600586,100800
animals,animals_8.txt,60x60,0.12260818481445312,435503,0.260784387588501,100800
animals,animals_80.txt,60x60,0.05960273742675781,380589,0.23850107192993164,100800
animals,animals_81.txt,60x60,0.08808588981628418,388085,0.15429043769836426,100800
animals,animals_82.txt,60x60,0.10672736167907715,431609,0.257749080657959,100800
animals,animals_83.txt,60x60,0.11966323852539062,458134,0.2061161994934082,100800
animals,animals_84.txt,60x60,0.04926443099975586,244468,0.1391434669494629,100800
animals,animals_85.txt,60x60,0.05759000778198242,318565,0.23037266731262207,100800
animals,animals_86.txt,60x60,0.06673240661621094,299102,0.20596909523010254,100800
animals,animals_87.txt,60x60,0.12149381637573242,541180,0.2477736473083496,100800
animals,animals_88.txt,60x60,0.07046175003051758,386032,0.20482397079467773,100800
animals,animals_89.txt,60x60,0.09989023208618164,466407,0.24756503105163574,100800
animals,animals_9.txt,60x60,0.04571056365966797,275503,0.18242907524108887,100800
animals,animals_90.txt,60x60,0.08922958374023438,414933,0.22738361358642578,100800
animals,animals_91.txt,60x60,0.056113243103027344,343946,0.23329567909240723,100800
animals,animals_92.txt,60x60,0.09356093406677246,338526,0.18537068367004395,100800
